record_nickname,age,gender,education,education_region,month_salary,region,race,maritial_status,applicants_number,has_appeal,is_family_apply,has_children,education_type,industry_sector,occupation,visa_type,sg_working_months,tax_times,application_times,application_start_date,application_end_date,additional_detail,result,c_time,m_time,uuid,source
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-04-01,2024-12-05,"好结果值得等待💕 4月:好朋友们来新，边在家做饭我们边整理资料申请👩🏻‍💻👨🏻‍💻
11月底：上着班看到RR发来的四条线，没法重新申请，和谨慎的RR一起默默祈祷期待好结果（虽然当时我觉得已经稳了）🙆🏻‍♀️🙆🏻‍♂️
又三天后：刷到CPF，开始让家人寄各种文件过来，悬着的心逐渐放下💆🏻‍♀️💆🏻‍♂️
刷到approved：终于踏实！体检，照照片，预约formality，预约领卡🙋🏻‍♀️🙋🏻‍♂️
拿到卡庆祝🍾🎉干了这杯酒～感谢🙏🏻
	
#所有的等待都是值得的[话题]# #新加坡pr四条线[话题]#",1,1733702461248,1733702461248,ceb37ea7-feb6-4133-bcff-1bd6d20574ac,2
xhs的momo,,,,,,,,,1,TRUE,FALSE,FALSE,,,,,,,,2024-09-30,2024-12-05,"🇸🇬 真的没有什么比上诉通过还开心的了 今天早上收到了好消息，星期日一向来不发帖，但真的太开心了，恭喜这位小姐姐！
	
上诉时间：
30.09.2024 - 发上诉邮件给ICA
05.12.2024 - 申请通过
	
上诉理由就是涨薪，附加税单，强调成就和未来规划，上诉通过真的很不容易
	
祝各位在上诉着的朋友们也能通过！
	
#新加坡PR[话题]# #帮忙申请PR[话题]# #新加坡PR申请[话题]# #新加坡PR上诉[话题]#",1,1733652222737,1733652222737,709f8baf-356a-43fd-a946-fb9689709bde,2
xhs的momo,40,0,2,1,,0,,1,1,FALSE,FALSE,TRUE,,14,室内设计公司老板,,,,,2024-05-19,2024-10-11,"工作暂停,🎉恭喜这位男士成功拿到pr！ 个人背景：
K先生，40岁，国内本科学历，在新加坡已婚并育有两孩，孩子目前在新加坡接受教育。他经营着一家室内设计公司，公司有一名本地员工。由于新加坡的教育和医疗费用较高，K先生希望通过获得PR身份来减轻这些开支。
.
📅【申请时间线】
- 5月19日 提交PR申请
- 10月11日 成功获批
.
K先生的条件非常不错，对于新加坡融入度高，并且在新加坡已婚已育很稳定，新加坡zheng府非常看重这些点，所以pr获批也相对很快，5个月就成功拿下pr
.
🎉🎉🎉恭喜k成功拿到pr，为他感到开心！获得PR身份后，在新加坡的生活将更加便利，同时也为长期定居提供了更多的保障。
.
最后也祝愿所有申请者都能顺利获得PR身份🍀🍀🍀，享受新加坡的优质生活。
﻿#新加坡pr[话题]#﻿ ﻿#新加坡pr申请[话题]#﻿ ﻿#新加坡PR获批[话题]#﻿ ﻿#新加坡申请pr[话题]#﻿ ﻿#pr新加坡[话题]#﻿ ﻿#新加坡绿卡pr[话题]#﻿ ﻿#新加坡绿卡[话题]#﻿ ﻿#新加坡永居申请[话题]#﻿",1,1733529650964,1733529650964,062e3290-c96e-41f8-ae97-dd8f258e3644,2
xhs的momo,,,,5,,5,0,,1,FALSE,FALSE,FALSE,,,,0,,,,,2024-10-01,"马来西亚华人，新加坡PR申请6个月通过 🇸🇬 申请人基本情况：
* 在新加坡工作好几年了，WP->EP后第一次申请
* 9月末被要求补交6个月工资单，过两天4条线
* 10月初Approved
	
申请人的bg普普通通啦，除了是EP Holder，并没有行业、工资、学历、家庭等方面的加持，职业成就能提供的信息也很少，我们是看了公司官网，结合公司信息+个人实际情况写的，不是传统意义上的润色（过度美化），义工信、推荐信、自荐信更是一概没有
	
在PR申请这事上，作为马来西亚华人就是加大分，从我们的申请情况来看，马来西亚华人4个月被拒的概率也是低于中国人的
	
祝各位好运~
	
隐私声明：本文分享内容已取得申请人同意
	
🎏PR锦鲤 🎏专注新加坡PR申请
#新加坡PR申请[话题]# #新加坡PR[话题]# #新加坡永久居民[话题]# #马来西亚人申请新加坡PR[话题]#",1,1733493656246,1733493656246,8bd078a9-1701-4cba-b8b1-d8f24c76d897,2
xhs的momo,,,,,,0,,1,1,FALSE,TRUE,FALSE,,,,3,,,,2024-07-02,2024-12-01,"🇸🇬【五个月出结果】PR新系统 2024年7月2号提交的 sponsor配偶申请的 之前也帮朋友申请过几次 对流程什么的很了解
虽然说了新的系统会在6个月内知道结果 可是一个星期而已就要求补交资料还是非常惊讶
很好奇会不会一个月以内就知道结果😝
	
后续
2/7 提交申请
30/11 盒子消失
1/12 早上8:50收到信息PR已批准
	
在此之前有帮先生单独申请过ltvp是批准的 但是想等到pr批准就不需要办ltvp的formalities所以延迟了ltvp的formalities",1,1733479251573,1733479251573,fab467b9-3fea-4775-b6dd-8575e74761af,2
wuyu,,,,,30000,1,,,3,FALSE,TRUE,TRUE,,,,2,24,,,2024-04-20,2024-12-01,"30k pep+ ep双职工家庭带孩子全家一起申请,来新2年，6个月要求补cv，提交完一周4条线可以重申请,gg",2,1733450160000,1733450160000,c7c2e9e3-54a7-420f-bbcd-15640d619a2d,1
xhs的momo,22,1,2,0,,0,,,1,FALSE,FALSE,FALSE,,,,0,48,,1,2024-04-03,2024-11-27,"🇸🇬pr申请通过啦！ 申请日：24年4月3日
获批日：24年11月27日
历时7个月24天（比我想的快，我以为至少要一年）
	
条件：stp > sp > ep > pr
背景：2002年来的🇸🇬（从小学一年级读到大学毕业）
学历：psle > o level > poly > nus
	
申请次数：nus的时候申请过2次被拒，工作4年以后第一次申请批了（由此可见🇸🇬政府就是不想给我减学费+让我交cpf🥲）
	
快来点赞接好运！",1,1733443251845,1733443251845,626a153e-9fb3-43d7-93de-1aab49b6150e,2
xhs的momo,35,,2,1,,0,,,1,FALSE,FALSE,FALSE,,10,科技行业,,48,,3,2024-04-09,2024-09-11,"恭喜🎉被拒2次后，等待5个月终于拿到pr了 D先生35岁，从事科技行业，拥有国内本科学位，在新加坡已经工作了4年。他之前自己申请PR两次都被杯具了，也一直找不到突破口。
.
D先生的行业背景和对新加坡的融入程度都没问题，我们决定在推荐信中突出他的个人优势和对新加坡的贡献，希望能让ICA看到他的价值。在第三次申请后终于成功获批！
.
**申请时间线：**
- 4月9日：提交PR申请。
- 9月11日：早上九点多，D先生惊喜地发现自己的申请被批准了。
.
真的为D先生感到高兴，也祝贺他终于拿到了PR。祝愿他在新加坡工作和生活都越来越好。
.
同时，也想对正在申请新加坡PR的你说，每个人的情况都是独特的，找到适合自己的申请策略非常重要，最后祝所有准pr都能顺利获得身份🍀🍀🍀。
﻿#新加坡pr[话题]#﻿ ﻿#新加坡pr申请[话题]#﻿ ﻿#新加坡申请pr[话题]#﻿ ﻿#新加坡ep转pr[话题]#﻿ ﻿#新加坡PR获批[话题]#﻿ ﻿#新加坡绿卡pr[话题]#﻿﻿",1,1733443251845,1733443251845,3262df51-ae78-4c80-9436-73bcc9ba81dc,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-06-06,2024-12-05,"PR申请第四次被拒 来坡19年整，纪念一下
申请时间：2024.6.6
刷到四条线可重新申请：2024.12.5
再接再厉
喊话新系统：我来了
#新加坡pr申请[话题]#",2,1733392852682,1733392852682,ef90305c-5ac1-4ee4-99fd-25acdf715c86,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-05-20,2024-11-17,"🇸🇬PR从拒批到成功，只用了7个月✨ 收到客户好消息了，恭喜拿到新加坡PR身份
PR申请时间线
一次被PR拒 - 2024.02.07
找到公司重新申请 - 2024.02.16
调整资料&优化简历 (大约三个月)
公司重新递交申请 - 2024.05.20
二次PR成功获批！ - 2024.11.17
💡 这次我用了三个月时间重新整理和补充资料，简历也通过合作伙伴的帮助，参加了不少活动，积极融入新加坡的社会。
	
#新加坡身份[话题]# #新加坡PR[话题]# #新加坡移民[话题]#",1,1733374850082,1733374850082,ef3ec76a-0d37-4fbf-89aa-79c783c0894b,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-01-28,2024-12-05,"🇸🇬四条线 ，不能重申 今年1月28提交申请
今天老公终于刷到四条了+不能重申
估计就快要出结果了
今晚要失眠了， 两个人抱着又期待即又怕失望的心情[失望R][失望R][失望R][皱眉R][皱眉R][皱眉R][皱眉R][皱眉R][皱眉R][皱眉R] 希望成功上岸[皱眉R][皱眉R][抓狂R][抓狂R][抓狂R]
	
#新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡pr申请条件[话题]# #新加坡pr四条线[话题]#",1,1733356850592,1733356850592,a023c698-eac0-4f9d-9e17-1e31272e2405,2
xhs的momo,,,,,,0,,,1,FALSE,FALSE,FALSE,,14,大宗商品交易员,0,,,3,2024-05-05,2024-12-04,"🇸🇬PR申请玄学之10年EP的我3次申请PR被拒 在不同公司拿了10年的EP
期间3次申请PR被拒
	
发个小作文留个纪念，不内耗。
	
第一次，2022年9月21日申请，2023年1月21日准时4个月查到四条线（对，大年三十的晚上查到的😂😂）被拒
	
第二次，2023年4月17日加薪后再次申请，8月17日又是4个月查到四条线被拒
	
第三次， 换了工作半年后，2024年5月5日提交申请，7个月后的12月4日查到四条线，可以重新申请，也就是被拒绝了……这次有进步，足足进步了3个月。
	
是一个大宗商品 #交易员 👨🏻‍💻
	
郁闷了5分钟然后就无所谓了。
	
一切继续向前……",2,1733320854743,1733320854743,50c2fda1-50ac-4907-85f0-d296acc15d77,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-05-20,2024-11-17,"快速逆袭PR！从拒签到成功仅用7个月！✨ 从绿卡到蓝卡的逆袭之路：我的PR申请时间线
💡 时间线分享：
[拔草R] 2024.02.07 被拒签
[拔草R] 2024.02.16 到弗克斯寻求专业帮助
[拔草R] 2024.05.20 打造全新资料并重新提交申请
（历时约3个月）
[拔草R] 2024.11.12 刷到四条线
[拔草R] 2024.11.17 成功获批PR 🎉
•
在短短 7个月 内，调整资料、优化简历，通过与合作伙伴积极参与活动，更好地融入新加坡社会，最终实现逆袭！
✨这段经历让我明白，坚持与专业团队的协作有多么重要。如果你也有类似的情况，欢迎一起交流！让我们共同迈向更美好的未来！💼🇸🇬  #新加坡[话题]# #2024[话题]#
#移民成功分享[话题]# #新加坡生活[话题]#  #努力总有回报[话题]#
#PR被拒绝[话题]# #新加坡咨询[话题]# #移民新加坡[话题]#
#新加坡PR[话题]# #新加坡pr申请[话题]#",1,1733320854742,1733320854742,6f0a1e4b-e114-4569-8ffd-07e5394d449c,2
打工人,,,,,,1,0,1,3,FALSE,TRUE,TRUE,,10,互联网中厂打工人,0,18,,1,2024-05-12,2024-11-29,中国人，EP+2DP，来新1年半申请，互联网中厂打工人，申请六个半月后 刷出四条线可再申请,2,1733290380000,1733290380000,044dc7d3-78ff-46c8-a37e-ba992e19602c,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-11-07,2024-11-11,"一年零四天，终于等来了新加坡的PR喜讯💗 23.11.7上传
24.11.11 获批
	
没有中介，一次过，历时一年零四天！接好运 [飞吻R]
	
#新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡永久居民[话题]# #新加坡[话题]#",1,1733306450787,1733306450787,271c0182-0a0e-4c8d-a5d8-1ab918e5058d,2
